,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
165,166,USD_JPY,2020-02-10T14:00:00.000000000Z,11391,109.736,109.794,109.636,109.681,109.742,109.8,109.642,109.688,109.748,109.806,109.648,109.694,0.15800000000000125,109.814,109.704,109.821,109.698,0.10999999999999943,-1,1,1,109.832,109.788,109.91999999999999
172,173,USD_JPY,2020-02-11T18:00:00.000000000Z,6798,109.808,109.832,109.721,109.783,109.814,109.838,109.728,109.789,109.82,109.845,109.734,109.795,0.10999999999999943,109.966,109.748,109.973,109.742,0.2179999999999893,-1,1,1,109.9948,109.9076,110.16919999999999
179,180,USD_JPY,2020-02-12T22:00:00.000000000Z,13800,110.058,110.083,109.796,109.943,110.089,110.094,109.803,109.948,110.12,110.12,109.81,109.953,0.2909999999999968,110.119,109.99,110.126,109.983,0.1290000000000049,-1,1,1,110.1389,110.0873,110.24210000000001
196,197,USD_JPY,2020-02-17T18:00:00.000000000Z,1983,109.918,109.942,109.848,109.862,109.925,109.95,109.859,109.88,109.932,109.957,109.869,109.897,0.09100000000000819,109.961,109.864,109.967,109.858,0.0969999999999942,-1,1,1,109.9767,109.9379,110.05429999999998
209,210,USD_JPY,2020-02-19T22:00:00.000000000Z,14681,111.312,111.346,111.08,111.24,111.36,111.367,111.112,111.246,111.407,111.407,111.119,111.253,0.25500000000000966,111.594,111.228,111.6,111.221,0.36599999999999966,-1,1,1,111.63659999999999,111.49019999999999,111.92939999999999
219,220,USD_JPY,2020-02-21T14:00:00.000000000Z,27721,111.838,111.932,111.457,111.657,111.844,111.938,111.474,111.663,111.85,111.944,111.485,111.669,0.46399999999999864,112.032,111.698,112.038,111.692,0.3340000000000032,-1,1,1,112.0714,111.9378,112.3386
231,232,USD_JPY,2020-02-25T14:00:00.000000000Z,47118,110.597,110.612,109.996,110.022,110.604,110.618,110.004,110.028,110.61,110.625,110.01,110.034,0.6139999999999901,110.714,110.35,110.721,110.344,0.3640000000000043,-1,1,1,110.7574,110.6118,111.04860000000001
235,236,USD_JPY,2020-02-26T06:00:00.000000000Z,38060,110.366,110.517,110.124,110.295,110.373,110.524,110.13,110.301,110.38,110.53,110.136,110.307,0.39400000000000546,110.578,110.173,110.585,110.167,0.40500000000000114,-1,1,1,110.62549999999999,110.46349999999998,110.94949999999999
244,245,USD_JPY,2020-02-27T18:00:00.000000000Z,40868,110.168,110.222,109.555,109.572,110.174,110.229,109.568,109.589,110.181,110.236,109.579,109.606,0.6610000000000014,110.348,109.695,110.356,109.688,0.6530000000000058,-1,1,1,110.4213,110.1601,110.9437
260,261,USD_JPY,2020-03-03T10:00:00.000000000Z,40167,107.969,108.069,107.588,107.747,107.976,108.075,107.595,107.754,107.983,108.081,107.602,107.76,0.480000000000004,108.138,107.693,108.144,107.687,0.4450000000000074,-1,1,1,108.1885,108.01050000000001,108.54450000000001
267,268,USD_JPY,2020-03-04T14:00:00.000000000Z,47262,107.47,107.537,107.134,107.418,107.476,107.544,107.151,107.424,107.482,107.551,107.162,107.431,0.3930000000000007,107.665,107.417,107.671,107.41,0.24800000000000466,-1,1,1,107.6958,107.59660000000001,107.89420000000001
298,299,USD_JPY,2020-03-11T17:00:00.000000000Z,44173,104.962,104.979,104.22,104.483,104.97,104.986,104.23,104.533,104.977,104.994,104.239,104.583,0.7560000000000002,105.134,104.42,105.142,104.413,0.7139999999999986,-1,1,1,105.2134,104.92779999999999,105.7846
300,301,USD_JPY,2020-03-12T01:00:00.000000000Z,41233,104.595,104.716,103.069,104.016,104.602,104.724,103.084,104.026,104.61,104.733,103.097,104.036,1.6400000000000006,104.807,104.323,104.818,104.273,0.48400000000000887,-1,1,1,104.8664,104.6728,105.2536
311,312,USD_JPY,2020-03-15T21:00:00.000000000Z,46371,107.012,107.321,105.707,106.903,107.062,107.371,105.728,106.918,107.112,107.421,105.749,106.932,1.6430000000000007,108.51,107.388,108.53,107.37,1.1219999999999999,-1,1,1,108.6422,108.1934,109.5398
323,324,USD_JPY,2020-03-17T21:00:00.000000000Z,28771,107.655,107.669,107.204,107.372,107.684,107.719,107.219,107.382,107.714,107.769,107.234,107.392,0.5,107.864,107.232,107.874,107.222,0.632000000000005,-1,1,1,107.93719999999999,107.68439999999998,108.44279999999999
331,332,USD_JPY,2020-03-19T05:00:00.000000000Z,64460,109.062,109.226,108.443,108.903,109.073,109.241,108.456,108.914,109.084,109.256,108.468,108.925,0.7849999999999966,109.554,108.59,109.58,108.573,0.9639999999999986,-1,1,1,109.6764,109.2908,110.4476
336,337,USD_JPY,2020-03-20T01:00:00.000000000Z,19416,111.133,111.187,109.912,109.933,111.148,111.202,109.928,109.946,111.162,111.218,109.942,109.959,1.274000000000001,111.366,110.682,111.38,110.646,0.6839999999999975,-1,1,1,111.44839999999999,111.17479999999999,111.9956
347,348,USD_JPY,2020-03-23T21:00:00.000000000Z,17472,111.192,111.282,110.436,110.448,111.242,111.332,110.447,110.458,111.291,111.382,110.457,110.468,0.8849999999999909,111.572,111.125,111.582,111.114,0.44700000000000273,-1,1,1,111.6267,111.4479,111.9843
358,359,USD_JPY,2020-03-25T17:00:00.000000000Z,23305,111.416,111.51,111.079,111.191,111.423,111.517,111.088,111.208,111.43,111.525,111.095,111.224,0.42900000000000205,111.682,111.344,111.69,111.333,0.33800000000000807,-1,1,1,111.7238,111.5886,111.9942
371,372,USD_JPY,2020-03-29T21:00:00.000000000Z,16994,107.675,107.964,107.356,107.503,107.725,107.976,107.368,107.514,107.775,107.987,107.379,107.525,0.6080000000000041,108.178,107.758,108.187,107.729,0.4200000000000017,-1,1,1,108.229,108.06099999999999,108.565
385,386,USD_JPY,2020-04-01T05:00:00.000000000Z,27576,107.753,107.806,107.275,107.466,107.762,107.815,107.286,107.476,107.772,107.825,107.295,107.486,0.5289999999999964,107.941,107.43,107.952,107.421,0.5109999999999957,-1,1,1,108.0031,107.79870000000001,108.4119
