,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
1111,1112,USD_JPY,2020-09-17T05:00:00.000000000Z,17091,105.069,105.08,104.684,104.735,105.075,105.086,104.692,104.74,105.081,105.092,104.698,104.746,0.39400000000000546,105.175,105.008,105.183,105.001,0.1670000000000016,-1,1,1,105.1997,105.1329,105.33330000000001
1117,1118,USD_JPY,2020-09-18T05:00:00.000000000Z,12093,104.799,104.822,104.402,104.468,104.804,104.828,104.409,104.475,104.81,104.835,104.416,104.482,0.41899999999999693,104.871,104.704,104.878,104.696,0.1670000000000016,-1,1,1,104.8947,104.8279,105.0283
1130,1131,USD_JPY,2020-09-22T09:00:00.000000000Z,14285,104.549,104.632,104.398,104.542,104.555,104.638,104.406,104.549,104.561,104.644,104.413,104.556,0.23199999999999932,104.736,104.507,104.743,104.5,0.2289999999999992,-1,1,1,104.76589999999999,104.67429999999999,104.94909999999999
1141,1142,USD_JPY,2020-09-24T05:00:00.000000000Z,15514,105.441,105.465,105.199,105.341,105.448,105.471,105.206,105.347,105.454,105.477,105.212,105.353,0.26500000000000057,105.478,105.358,105.484,105.352,0.11999999999999034,-1,1,1,105.496,105.448,105.59199999999998
1146,1147,USD_JPY,2020-09-25T01:00:00.000000000Z,7659,105.504,105.531,105.381,105.382,105.51,105.537,105.388,105.388,105.517,105.543,105.395,105.395,0.1490000000000009,105.542,105.394,105.552,105.357,0.14799999999999613,-1,1,1,105.5668,105.5076,105.6852
1169,1170,USD_JPY,2020-09-30T21:00:00.000000000Z,5461,105.493,105.54,105.397,105.497,105.543,105.547,105.404,105.504,105.593,105.593,105.411,105.51,0.14300000000000068,105.572,105.418,105.598,105.4,0.15399999999999636,-1,1,1,105.6134,105.5518,105.7366
1177,1178,USD_JPY,2020-10-02T05:00:00.000000000Z,28900,105.539,105.547,104.936,105.199,105.55,105.555,104.944,105.206,105.56,105.563,104.951,105.213,0.6110000000000042,105.667,105.532,105.674,105.515,0.13500000000000512,-1,1,1,105.6875,105.6335,105.7955
1208,1209,USD_JPY,2020-10-09T09:00:00.000000000Z,13326,105.859,105.946,105.819,105.851,105.865,105.952,105.826,105.857,105.871,105.958,105.832,105.863,0.12600000000000477,105.985,105.852,105.991,105.845,0.13299999999999557,-1,1,1,106.0043,105.9511,106.1107
1214,1215,USD_JPY,2020-10-12T09:00:00.000000000Z,13949,105.594,105.597,105.357,105.369,105.6,105.603,105.363,105.374,105.607,105.609,105.368,105.379,0.23999999999999488,105.616,105.435,105.622,105.428,0.18099999999999739,-1,1,1,105.6401,105.5677,105.78490000000001
1222,1223,USD_JPY,2020-10-13T17:00:00.000000000Z,6609,105.535,105.55,105.443,105.459,105.542,105.556,105.449,105.482,105.548,105.563,105.455,105.506,0.10699999999999932,105.628,105.512,105.635,105.505,0.11599999999999966,-1,1,1,105.6466,105.6002,105.7394
1235,1236,USD_JPY,2020-10-15T21:00:00.000000000Z,5739,105.401,105.423,105.306,105.311,105.451,105.455,105.312,105.317,105.501,105.505,105.318,105.323,0.14300000000000068,105.494,105.362,105.5,105.356,0.132000000000005,-1,1,1,105.5132,105.46039999999999,105.61880000000001
1261,1262,USD_JPY,2020-10-22T05:00:00.000000000Z,11029,104.705,104.708,104.469,104.673,104.71,104.714,104.476,104.678,104.715,104.72,104.482,104.684,0.23799999999999955,104.754,104.626,104.761,104.621,0.1280000000000001,-1,1,1,104.7738,104.7226,104.8762
1284,1285,USD_JPY,2020-10-28T01:00:00.000000000Z,8077,104.461,104.5,104.199,104.239,104.467,104.506,104.205,104.244,104.473,104.513,104.211,104.249,0.30100000000000193,104.558,104.408,104.565,104.364,0.15000000000000568,-1,1,1,104.58,104.52,104.7
1291,1292,USD_JPY,2020-10-29T05:00:00.000000000Z,11182,104.433,104.433,104.187,104.22,104.44,104.44,104.194,104.226,104.446,104.446,104.201,104.232,0.2459999999999951,104.506,104.314,104.512,104.308,0.19200000000000728,-1,1,1,104.5312,104.45439999999999,104.68480000000001
1304,1305,USD_JPY,2020-11-02T10:00:00.000000000Z,10341,104.798,104.809,104.625,104.654,104.804,104.815,104.63,104.66,104.809,104.821,104.636,104.665,0.18500000000000227,104.95,104.692,104.956,104.686,0.2580000000000098,-1,1,1,104.9818,104.8786,105.18820000000001
1308,1309,USD_JPY,2020-11-03T02:00:00.000000000Z,4786,104.732,104.742,104.649,104.711,104.738,104.748,104.655,104.716,104.745,104.754,104.661,104.722,0.09300000000000352,104.802,104.684,104.816,104.634,0.11800000000000921,-1,1,1,104.8278,104.78059999999999,104.9222
1324,1325,USD_JPY,2020-11-05T18:00:00.000000000Z,13901,103.715,103.765,103.435,103.454,103.721,103.771,103.442,103.504,103.727,103.777,103.448,103.554,0.32900000000000773,103.847,103.566,103.853,103.56,0.2809999999999917,-1,1,1,103.88109999999999,103.7687,104.10589999999998
1326,1327,USD_JPY,2020-11-06T02:00:00.000000000Z,15013,103.61,103.659,103.354,103.531,103.616,103.666,103.36,103.538,103.623,103.673,103.366,103.544,0.3059999999999974,103.76,103.475,103.767,103.429,0.2850000000000108,-1,1,1,103.7955,103.6815,104.02350000000001
1343,1344,USD_JPY,2020-11-10T22:00:00.000000000Z,7829,105.257,105.288,104.999,105.086,105.307,105.325,105.006,105.092,105.357,105.373,105.012,105.099,0.3190000000000026,105.346,105.228,105.361,105.22,0.11800000000000921,-1,1,1,105.37280000000001,105.32560000000001,105.46720000000002
1348,1349,USD_JPY,2020-11-11T18:00:00.000000000Z,7636,105.563,105.568,105.381,105.414,105.568,105.574,105.388,105.432,105.574,105.58,105.396,105.449,0.18599999999999284,105.677,105.452,105.684,105.445,0.22500000000000853,-1,1,1,105.7065,105.6165,105.88650000000001
1358,1359,USD_JPY,2020-11-13T10:00:00.000000000Z,14708,105.016,105.069,104.666,104.735,105.022,105.074,104.676,104.741,105.028,105.08,104.683,104.747,0.39799999999999613,105.152,104.882,105.159,104.875,0.269999999999996,-1,1,1,105.186,105.078,105.402
1363,1364,USD_JPY,2020-11-16T06:00:00.000000000Z,9828,104.58,104.587,104.357,104.539,104.586,104.592,104.364,104.545,104.592,104.599,104.371,104.551,0.22799999999999443,104.598,104.485,104.604,104.479,0.11299999999999955,-1,1,1,104.6153,104.57010000000001,104.70570000000001
1365,1366,USD_JPY,2020-11-16T14:00:00.000000000Z,18638,104.837,104.862,104.51,104.532,104.844,104.868,104.517,104.538,104.85,104.874,104.523,104.545,0.3509999999999991,105.138,104.518,105.145,104.512,0.6200000000000045,-1,1,1,105.207,104.95899999999999,105.703
1377,1378,USD_JPY,2020-11-18T14:00:00.000000000Z,14912,103.958,103.958,103.647,103.821,103.964,103.964,103.653,103.828,103.971,103.971,103.659,103.834,0.31099999999999284,104.102,103.792,104.108,103.786,0.3100000000000023,-1,1,1,104.13900000000001,104.01500000000001,104.38700000000001
1380,1381,USD_JPY,2020-11-19T02:00:00.000000000Z,7666,103.848,103.849,103.713,103.768,103.854,103.856,103.719,103.774,103.861,103.862,103.725,103.781,0.13700000000000045,103.984,103.738,103.991,103.716,0.2459999999999951,-1,1,1,104.0156,103.91720000000001,104.2124
1391,1392,USD_JPY,2020-11-22T22:00:00.000000000Z,4973,103.748,103.856,103.71,103.746,103.798,103.864,103.716,103.752,103.848,103.872,103.722,103.758,0.14800000000001035,103.866,103.808,103.908,103.798,0.057999999999992724,-1,1,1,103.9138,103.89059999999999,103.96019999999999
1394,1395,USD_JPY,2020-11-23T10:00:00.000000000Z,10513,103.789,103.796,103.676,103.714,103.794,103.802,103.683,103.72,103.8,103.808,103.69,103.726,0.11899999999999977,103.849,103.74,103.855,103.735,0.10900000000000887,-1,1,1,103.86590000000001,103.82230000000001,103.95310000000002
1398,1399,USD_JPY,2020-11-24T02:00:00.000000000Z,9375,104.565,104.579,104.339,104.36,104.571,104.586,104.346,104.366,104.577,104.592,104.352,104.371,0.23999999999999488,104.648,104.451,104.654,104.445,0.19700000000000273,-1,1,1,104.6737,104.5949,104.8313
1407,1408,USD_JPY,2020-11-25T14:00:00.000000000Z,16752,104.399,104.442,104.25,104.333,104.406,104.448,104.256,104.339,104.413,104.453,104.262,104.345,0.19199999999999307,104.522,104.342,104.528,104.336,0.18000000000000682,-1,1,1,104.546,104.474,104.69000000000001
1411,1412,USD_JPY,2020-11-26T06:00:00.000000000Z,8792,104.351,104.352,104.216,104.257,104.356,104.358,104.222,104.265,104.362,104.365,104.229,104.273,0.1360000000000099,104.361,104.258,104.368,104.252,0.10300000000000864,-1,1,1,104.3783,104.33709999999999,104.4607
1415,1416,USD_JPY,2020-11-26T22:00:00.000000000Z,6638,104.216,104.267,103.997,104.024,104.266,104.282,104.003,104.03,104.316,104.327,104.009,104.036,0.27899999999999636,104.284,104.233,104.325,104.214,0.05100000000000193,-1,1,1,104.3301,104.3097,104.3709
1419,1420,USD_JPY,2020-11-27T14:00:00.000000000Z,11496,104.149,104.174,103.961,104.024,104.156,104.18,103.967,104.03,104.162,104.186,103.973,104.036,0.21300000000000807,104.215,104.011,104.222,104.005,0.20400000000000773,-1,1,1,104.24239999999999,104.16079999999998,104.40559999999999
1427,6,USD_JPY,2020-11-30T22:00:00.000000000Z,9034,104.25,104.367,104.238,104.348,104.3,104.38,104.248,104.354,104.35,104.412,104.254,104.361,0.1319999999999908,104.41,104.249,104.416,104.241,0.16100000000000136,1,1,1,104.43209999999999,104.36769999999999,104.56089999999999
1429,8,USD_JPY,2020-12-01T06:00:00.000000000Z,10995,104.371,104.385,104.177,104.276,104.376,104.391,104.182,104.282,104.382,104.397,104.188,104.288,0.20900000000000318,104.462,104.324,104.469,104.317,0.13800000000000523,-1,1,1,104.4828,104.4276,104.5932
1454,33,USD_JPY,2020-12-07T10:00:00.000000000Z,14298,104.283,104.307,104.02,104.031,104.288,104.312,104.026,104.036,104.293,104.319,104.031,104.041,0.28600000000000136,104.313,104.072,104.319,104.066,0.24099999999999966,-1,1,1,104.3431,104.2467,104.53590000000001
1463,42,USD_JPY,2020-12-08T22:00:00.000000000Z,6086,104.157,104.172,104.099,104.131,104.176,104.18,104.106,104.137,104.196,104.201,104.112,104.143,0.07400000000001228,104.184,104.118,104.189,104.111,0.0660000000000025,-1,1,1,104.1956,104.1692,104.2484
1472,51,USD_JPY,2020-12-10T10:00:00.000000000Z,14627,104.455,104.558,104.309,104.366,104.461,104.564,104.316,104.372,104.467,104.57,104.324,104.377,0.24799999999999045,104.58,104.416,104.587,104.409,0.16400000000000148,-1,1,1,104.60340000000001,104.5378,104.73460000000001
1479,58,USD_JPY,2020-12-11T14:00:00.000000000Z,14687,104.04,104.068,103.818,103.908,104.046,104.074,103.824,103.914,104.051,104.08,103.83,103.921,0.25,104.154,103.95,104.16,103.942,0.20399999999999352,-1,1,1,104.18039999999999,104.0988,104.34359999999998
1481,60,USD_JPY,2020-12-13T22:00:00.000000000Z,8082,103.953,104.057,103.83,104.0,103.994,104.062,103.852,104.006,104.036,104.069,103.873,104.012,0.20999999999999375,104.102,103.91,104.152,103.904,0.19200000000000728,1,1,1,104.1712,104.0944,104.32480000000001
1483,62,USD_JPY,2020-12-14T06:00:00.000000000Z,11131,104.026,104.028,103.742,103.747,104.033,104.034,103.748,103.754,104.04,104.04,103.754,103.76,0.28600000000000136,104.058,103.954,104.064,103.948,0.10400000000001342,-1,1,1,104.0744,104.0328,104.1576
1508,87,USD_JPY,2020-12-18T10:00:00.000000000Z,13114,103.547,103.56,103.188,103.261,103.552,103.566,103.195,103.267,103.558,103.573,103.202,103.273,0.3710000000000093,103.596,103.308,103.603,103.302,0.2879999999999967,-1,1,1,103.6318,103.5166,103.8622
1536,115,USD_JPY,2020-12-27T22:00:00.000000000Z,7630,103.48,103.631,103.446,103.555,103.53,103.637,103.454,103.562,103.58,103.643,103.462,103.568,0.18300000000000693,103.691,103.684,103.741,103.634,0.007000000000005002,1,1,1,103.7417,103.73889999999999,103.7473
1537,116,USD_JPY,2020-12-28T02:00:00.000000000Z,5663,103.556,103.602,103.392,103.45,103.563,103.609,103.408,103.457,103.57,103.616,103.415,103.464,0.2009999999999934,103.637,103.454,103.643,103.446,0.18300000000000693,-1,1,1,103.6613,103.5881,103.8077
1556,135,USD_JPY,2020-12-31T06:00:00.000000000Z,11213,103.131,103.185,102.99,103.01,103.137,103.191,102.996,103.016,103.143,103.197,103.003,103.023,0.1950000000000074,103.209,103.081,103.216,103.074,0.1280000000000001,-1,1,1,103.22879999999999,103.1776,103.3312
1560,139,USD_JPY,2021-01-03T22:00:00.000000000Z,9410,103.083,103.31,102.991,103.05,103.12,103.317,102.998,103.058,103.157,103.325,103.005,103.065,0.3189999999999884,103.321,103.237,103.347,103.23,0.08400000000000318,-1,1,1,103.35539999999999,103.32179999999998,103.42259999999999
1567,146,USD_JPY,2021-01-05T02:00:00.000000000Z,8979,103.121,103.146,102.929,102.948,103.126,103.151,102.936,102.954,103.132,103.156,102.942,102.96,0.2149999999999892,103.192,103.078,103.2,103.043,0.11399999999999011,-1,1,1,103.2114,103.1658,103.30259999999998
1577,156,USD_JPY,2021-01-06T18:00:00.000000000Z,13153,103.203,103.238,102.938,102.998,103.209,103.245,102.944,103.048,103.215,103.252,102.95,103.098,0.30100000000000193,103.444,103.149,103.451,103.142,0.2950000000000017,-1,1,1,103.48049999999999,103.3625,103.7165
1592,171,USD_JPY,2021-01-11T06:00:00.000000000Z,12507,104.179,104.192,104.029,104.098,104.186,104.199,104.035,104.104,104.192,104.206,104.041,104.111,0.16400000000000148,104.222,104.113,104.228,104.107,0.10899999999999466,-1,1,1,104.2389,104.1953,104.3261
1606,185,USD_JPY,2021-01-13T14:00:00.000000000Z,16733,103.866,103.973,103.738,103.871,103.872,103.98,103.747,103.878,103.878,103.987,103.753,103.884,0.2330000000000041,103.998,103.82,104.005,103.813,0.17800000000001148,1,1,1,104.02279999999999,103.95159999999998,104.1652
1612,191,USD_JPY,2021-01-14T14:00:00.000000000Z,18712,104.059,104.123,103.556,103.645,104.065,104.129,103.563,103.65,104.071,104.135,103.57,103.655,0.5660000000000025,104.16,103.954,104.168,103.948,0.20600000000000307,-1,1,1,104.18860000000001,104.1062,104.35340000000001
1616,195,USD_JPY,2021-01-15T06:00:00.000000000Z,10342,103.8,103.805,103.64,103.653,103.806,103.812,103.646,103.659,103.813,103.818,103.653,103.665,0.16599999999999682,103.822,103.736,103.829,103.73,0.08599999999999852,-1,1,1,103.8376,103.80319999999999,103.90639999999999
1629,208,USD_JPY,2021-01-19T10:00:00.000000000Z,11523,104.01,104.022,103.853,103.911,104.016,104.028,103.862,103.918,104.023,104.034,103.87,103.924,0.16600000000001103,104.086,103.951,104.094,103.944,0.13500000000000512,-1,1,1,104.10749999999999,104.05349999999999,104.21549999999999
1639,218,USD_JPY,2021-01-21T02:00:00.000000000Z,7353,103.548,103.577,103.326,103.363,103.554,103.583,103.332,103.369,103.561,103.589,103.339,103.375,0.2510000000000048,103.669,103.502,103.676,103.481,0.1670000000000016,-1,1,1,103.6927,103.6259,103.8263
1651,230,USD_JPY,2021-01-25T02:00:00.000000000Z,5732,103.834,103.839,103.681,103.712,103.84,103.846,103.688,103.718,103.847,103.853,103.693,103.724,0.15800000000000125,103.892,103.749,103.898,103.74,0.14300000000000068,-1,1,1,103.9123,103.85510000000001,104.0267
1659,238,USD_JPY,2021-01-26T10:00:00.000000000Z,10359,103.785,103.806,103.617,103.652,103.792,103.812,103.624,103.658,103.798,103.819,103.631,103.664,0.1880000000000024,103.829,103.694,103.836,103.687,0.1349999999999909,-1,1,1,103.84949999999999,103.79549999999999,103.95749999999998
1688,267,USD_JPY,2021-02-02T06:00:00.000000000Z,7897,104.967,105.022,104.845,104.919,104.972,105.028,104.852,104.925,104.977,105.035,104.859,104.931,0.17600000000000193,105.03,104.86,105.036,104.854,0.1700000000000017,-1,1,1,105.053,104.985,105.189
1691,270,USD_JPY,2021-02-02T18:00:00.000000000Z,4868,105.092,105.098,104.923,104.931,105.098,105.104,104.952,104.973,105.104,105.111,104.978,105.015,0.15200000000000102,105.174,104.966,105.18,104.959,0.20800000000001262,-1,1,1,105.20080000000002,105.11760000000001,105.36720000000003
1708,287,USD_JPY,2021-02-05T14:00:00.000000000Z,15231,105.677,105.7,105.338,105.341,105.684,105.707,105.344,105.348,105.691,105.714,105.351,105.354,0.36299999999999955,105.768,105.458,105.785,105.451,0.3100000000000023,-1,1,1,105.816,105.69200000000001,106.06400000000001
1713,292,USD_JPY,2021-02-08T10:00:00.000000000Z,6941,105.599,105.661,105.44,105.476,105.605,105.667,105.446,105.482,105.611,105.673,105.452,105.488,0.22100000000000364,105.672,105.452,105.679,105.446,0.21999999999999886,-1,1,1,105.70100000000001,105.61300000000001,105.87700000000001
1720,299,USD_JPY,2021-02-09T14:00:00.000000000Z,12067,104.613,104.684,104.491,104.557,104.62,104.69,104.498,104.564,104.626,104.696,104.504,104.57,0.19199999999999307,104.725,104.559,104.732,104.553,0.16599999999999682,-1,1,1,104.7486,104.6822,104.8814
1723,302,USD_JPY,2021-02-10T02:00:00.000000000Z,4512,104.641,104.66,104.504,104.557,104.648,104.668,104.511,104.564,104.654,104.675,104.517,104.57,0.1570000000000107,104.714,104.516,104.721,104.509,0.1979999999999933,-1,1,1,104.74080000000001,104.6616,104.89920000000001
1738,317,USD_JPY,2021-02-12T14:00:00.000000000Z,9811,105.068,105.117,104.904,104.922,105.074,105.123,104.91,104.928,105.079,105.129,104.917,104.934,0.21300000000000807,105.125,104.926,105.131,104.92,0.19899999999999807,-1,1,1,105.15090000000001,105.07130000000001,105.3101
1756,335,USD_JPY,2021-02-17T14:00:00.000000000Z,13949,106.133,106.168,105.77,105.786,106.14,106.174,105.778,105.792,106.146,106.18,105.786,105.798,0.3960000000000008,106.216,105.945,106.223,105.939,0.2710000000000008,-1,1,1,106.2501,106.1417,106.46690000000001
1758,337,USD_JPY,2021-02-17T22:00:00.000000000Z,7224,105.86,105.908,105.691,105.761,105.87,105.914,105.698,105.767,105.88,105.921,105.704,105.773,0.21600000000000819,105.925,105.784,105.931,105.777,0.14099999999999113,-1,1,1,105.9451,105.8887,106.05789999999999
1765,344,USD_JPY,2021-02-19T02:00:00.000000000Z,5060,105.692,105.725,105.552,105.578,105.698,105.731,105.558,105.585,105.704,105.737,105.564,105.592,0.1729999999999876,105.742,105.646,105.749,105.633,0.09600000000000364,-1,1,1,105.7586,105.7202,105.8354
1776,355,USD_JPY,2021-02-22T22:00:00.000000000Z,6872,105.048,105.083,104.916,104.947,105.072,105.1,104.922,104.954,105.097,105.121,104.929,104.96,0.17799999999999727,105.109,104.984,105.159,104.978,0.125,-1,1,1,105.17150000000001,105.12150000000001,105.2715
1780,359,USD_JPY,2021-02-23T14:00:00.000000000Z,16261,105.375,105.397,105.057,105.235,105.381,105.403,105.064,105.241,105.387,105.409,105.07,105.247,0.33900000000001285,105.43,105.178,105.436,105.172,0.25200000000000955,-1,1,1,105.4612,105.3604,105.66280000000002
1810,389,USD_JPY,2021-03-02T14:00:00.000000000Z,13421,106.916,106.931,106.67,106.735,106.922,106.936,106.676,106.741,106.929,106.943,106.683,106.747,0.2600000000000051,106.958,106.848,106.965,106.842,0.10999999999999943,-1,1,1,106.976,106.932,107.064
1828,407,USD_JPY,2021-03-05T14:00:00.000000000Z,33909,108.457,108.464,108.089,108.277,108.464,108.47,108.096,108.284,108.47,108.477,108.103,108.29,0.3739999999999952,108.646,108.224,108.653,108.217,0.42199999999999704,-1,1,1,108.6952,108.5264,109.0328
1840,419,USD_JPY,2021-03-09T14:00:00.000000000Z,20748,108.872,108.878,108.488,108.52,108.878,108.884,108.494,108.527,108.885,108.89,108.501,108.534,0.39000000000000057,108.972,108.636,108.979,108.63,0.3359999999999985,-1,1,1,109.01259999999999,108.87819999999999,109.28139999999999
1869,448,USD_JPY,2021-03-16T09:00:00.000000000Z,13948,109.217,109.239,108.934,109.001,109.223,109.246,108.94,109.008,109.229,109.252,108.946,109.015,0.3059999999999974,109.288,109.125,109.294,109.118,0.1629999999999967,-1,1,1,109.3103,109.2451,109.44069999999999
1877,456,USD_JPY,2021-03-17T17:00:00.000000000Z,26630,109.239,109.281,108.739,108.827,109.245,109.288,108.746,108.841,109.251,109.294,108.752,108.855,0.5420000000000016,109.326,109.128,109.332,109.122,0.1979999999999933,-1,1,1,109.3518,109.2726,109.5102
1899,478,USD_JPY,2021-03-23T09:00:00.000000000Z,19354,108.747,108.788,108.4,108.56,108.754,108.794,108.406,108.566,108.76,108.801,108.413,108.571,0.387999999999991,108.806,108.676,108.813,108.67,0.12999999999999545,-1,1,1,108.82600000000001,108.77400000000002,108.93
1907,486,USD_JPY,2021-03-24T17:00:00.000000000Z,5569,108.804,108.819,108.658,108.688,108.81,108.825,108.664,108.738,108.816,108.847,108.67,108.788,0.16100000000000136,108.957,108.694,108.964,108.688,0.262999999999991,-1,1,1,108.99029999999999,108.8851,109.20069999999998
1934,513,USD_JPY,2021-03-31T05:00:00.000000000Z,14177,110.861,110.938,110.508,110.509,110.866,110.945,110.514,110.516,110.872,110.952,110.521,110.522,0.4309999999999974,110.966,110.558,110.973,110.551,0.40799999999998704,-1,1,1,111.0138,110.85060000000001,111.3402
1936,515,USD_JPY,2021-03-31T13:00:00.000000000Z,17148,110.705,110.817,110.407,110.602,110.71,110.822,110.414,110.608,110.716,110.829,110.42,110.615,0.40800000000000125,110.84,110.516,110.846,110.509,0.32399999999999807,-1,1,1,110.8784,110.7488,111.13759999999999
1939,518,USD_JPY,2021-04-01T01:00:00.000000000Z,9039,110.783,110.791,110.564,110.694,110.79,110.798,110.571,110.7,110.796,110.805,110.577,110.706,0.22700000000000387,110.826,110.676,110.832,110.669,0.14999999999999147,-1,1,1,110.847,110.78699999999999,110.96699999999998
1963,542,USD_JPY,2021-04-07T01:00:00.000000000Z,13789,109.768,109.827,109.571,109.71,109.775,109.834,109.578,109.718,109.782,109.841,109.585,109.725,0.2560000000000002,109.896,109.736,109.923,109.701,0.1599999999999966,-1,1,1,109.93900000000001,109.87500000000001,110.06700000000001
1975,554,USD_JPY,2021-04-09T01:00:00.000000000Z,7611,109.254,109.368,109.206,109.364,109.261,109.375,109.213,109.37,109.268,109.382,109.22,109.377,0.16200000000000614,109.396,109.216,109.404,109.173,0.18000000000000682,1,1,1,109.422,109.35,109.566
1978,557,USD_JPY,2021-04-09T13:00:00.000000000Z,15344,109.869,109.949,109.55,109.63,109.875,109.956,109.556,109.637,109.881,109.963,109.562,109.644,0.4000000000000057,109.962,109.582,109.969,109.576,0.38000000000000966,-1,1,1,110.00699999999999,109.85499999999999,110.31099999999999
1981,560,USD_JPY,2021-04-12T01:00:00.000000000Z,10947,109.753,109.764,109.465,109.528,109.76,109.77,109.471,109.534,109.766,109.777,109.477,109.54,0.2989999999999924,109.793,109.576,109.843,109.526,0.21700000000001296,-1,1,1,109.8647,109.77789999999999,110.0383
1988,567,USD_JPY,2021-04-13T05:00:00.000000000Z,13865,109.699,109.73,109.278,109.32,109.706,109.737,109.286,109.326,109.713,109.745,109.292,109.332,0.4509999999999934,109.753,109.537,109.76,109.53,0.21599999999999397,-1,1,1,109.7816,109.6952,109.95439999999999
1997,576,USD_JPY,2021-04-14T17:00:00.000000000Z,4449,108.949,108.979,108.867,108.867,108.955,108.988,108.881,108.917,108.961,109.002,108.888,108.967,0.10699999999999932,109.096,108.911,109.102,108.904,0.18500000000000227,-1,1,1,109.1205,109.04650000000001,109.2685
2002,581,USD_JPY,2021-04-15T13:00:00.000000000Z,14728,108.794,108.802,108.607,108.69,108.8,108.808,108.612,108.696,108.807,108.814,108.618,108.703,0.19600000000001216,108.88,108.664,108.887,108.658,0.21599999999999397,-1,1,1,108.9086,108.82220000000001,109.0814
2004,583,USD_JPY,2021-04-15T21:00:00.000000000Z,5163,108.711,108.758,108.605,108.758,108.754,108.764,108.612,108.764,108.798,108.806,108.619,108.771,0.15200000000000102,108.784,108.625,108.834,108.619,0.15900000000000603,1,1,1,108.8499,108.7863,108.97710000000001
2007,586,USD_JPY,2021-04-16T09:00:00.000000000Z,10701,108.851,108.901,108.696,108.845,108.857,108.906,108.703,108.852,108.863,108.913,108.71,108.859,0.20300000000000296,108.966,108.774,108.973,108.767,0.19199999999999307,-1,1,1,108.9922,108.9154,109.1458
2016,595,USD_JPY,2021-04-19T21:00:00.000000000Z,5813,108.103,108.196,107.965,108.171,108.153,108.202,107.972,108.178,108.203,108.215,107.98,108.185,0.23000000000000398,108.207,108.062,108.257,108.056,0.14499999999999602,1,1,1,108.2715,108.21350000000001,108.3875
2037,616,USD_JPY,2021-04-23T09:00:00.000000000Z,12312,107.907,107.931,107.471,107.509,107.914,107.938,107.478,107.516,107.92,107.945,107.485,107.523,0.46000000000000796,107.984,107.855,107.992,107.848,0.12899999999999068,-1,1,1,108.0049,107.95330000000001,108.1081
2056,635,USD_JPY,2021-04-28T13:00:00.000000000Z,15809,108.954,108.965,108.697,108.845,108.96,108.972,108.704,108.852,108.966,108.978,108.71,108.859,0.2680000000000007,109.004,108.834,109.011,108.828,0.1700000000000017,-1,1,1,109.02799999999999,108.96,109.16399999999999
2065,644,USD_JPY,2021-04-30T01:00:00.000000000Z,10198,108.925,108.938,108.707,108.8,108.932,108.945,108.714,108.807,108.939,108.952,108.72,108.814,0.23099999999999454,109.058,108.858,109.065,108.852,0.20000000000000284,-1,1,1,109.085,109.005,109.24499999999999
2073,652,USD_JPY,2021-05-03T09:00:00.000000000Z,11104,109.626,109.636,109.293,109.37,109.632,109.643,109.3,109.376,109.639,109.65,109.307,109.383,0.3430000000000035,109.698,109.513,109.705,109.506,0.18499999999998806,-1,1,1,109.7235,109.6495,109.8715
2079,658,USD_JPY,2021-05-04T09:00:00.000000000Z,18273,109.414,109.474,109.062,109.089,109.42,109.48,109.068,109.094,109.425,109.486,109.075,109.1,0.41200000000000614,109.488,109.264,109.494,109.257,0.22400000000000375,-1,1,1,109.5164,109.4268,109.69560000000001
2085,664,USD_JPY,2021-05-05T09:00:00.000000000Z,10828,109.356,109.399,109.236,109.317,109.363,109.405,109.243,109.324,109.37,109.411,109.25,109.33,0.16200000000000614,109.482,109.256,109.488,109.25,0.2259999999999991,-1,1,1,109.5106,109.4202,109.6914
2090,669,USD_JPY,2021-05-06T05:00:00.000000000Z,10532,109.391,109.393,109.172,109.219,109.398,109.4,109.178,109.226,109.404,109.406,109.185,109.233,0.2220000000000084,109.429,109.294,109.436,109.288,0.13500000000000512,-1,1,1,109.4495,109.3955,109.5575
2109,688,USD_JPY,2021-05-11T09:00:00.000000000Z,17206,108.819,108.884,108.495,108.564,108.826,108.891,108.502,108.571,108.833,108.898,108.509,108.578,0.38900000000001,108.98,108.807,108.986,108.8,0.17300000000000182,-1,1,1,109.00330000000001,108.93410000000002,109.14170000000001
2114,693,USD_JPY,2021-05-12T05:00:00.000000000Z,10276,108.854,108.879,108.717,108.747,108.86,108.885,108.724,108.752,108.866,108.891,108.73,108.758,0.16100000000000136,108.906,108.762,108.912,108.755,0.14400000000000546,-1,1,1,108.9264,108.8688,109.0416
2120,699,USD_JPY,2021-05-13T05:00:00.000000000Z,14571,109.685,109.746,109.475,109.562,109.691,109.752,109.482,109.568,109.697,109.76,109.487,109.575,0.269999999999996,109.753,109.483,109.76,109.476,0.269999999999996,-1,1,1,109.787,109.679,110.003
