,time,ticker,mid_o,mid_h,mid_l,mid_c,MA_8,MA_16,MA_32,MA_64,MA_128,MA_256
3535,2023-06-19T03:00:00.000000000Z,EUR_USD,1.09364,1.09381,1.0934,1.09369,1.0861325252525251,1.0861325252525251,1.0861325252525251,1.0861325252525251,1.0861325252525251,1.0861325252525251
3536,2023-06-19T04:00:00.000000000Z,EUR_USD,1.0937,1.09371,1.09322,1.09347,1.0863012121212121,1.0863012121212121,1.0863012121212121,1.0863012121212121,1.0863012121212121,1.0863012121212121
3537,2023-06-19T05:00:00.000000000Z,EUR_USD,1.09348,1.09414,1.09318,1.09402,1.0864686868686868,1.0864686868686868,1.0864686868686868,1.0864686868686868,1.0864686868686868,1.0864686868686868
3538,2023-06-19T06:00:00.000000000Z,EUR_USD,1.09402,1.09403,1.09276,1.09295,1.086620606060606,1.086620606060606,1.086620606060606,1.086620606060606,1.086620606060606,1.086620606060606
3539,2023-06-19T07:00:00.000000000Z,EUR_USD,1.09298,1.09376,1.09252,1.09294,1.086769292929293,1.086769292929293,1.086769292929293,1.086769292929293,1.086769292929293,1.086769292929293
3540,2023-06-19T08:00:00.000000000Z,EUR_USD,1.09294,1.09388,1.0927,1.09296,1.0869175757575757,1.0869175757575757,1.0869175757575757,1.0869175757575757,1.0869175757575757,1.0869175757575757
3541,2023-06-19T09:00:00.000000000Z,EUR_USD,1.09296,1.09297,1.091,1.09107,1.0870366666666667,1.0870366666666667,1.0870366666666667,1.0870366666666667,1.0870366666666667,1.0870366666666667
3542,2023-06-19T10:00:00.000000000Z,EUR_USD,1.09108,1.09198,1.09072,1.09198,1.0871579797979798,1.0871579797979798,1.0871579797979798,1.0871579797979798,1.0871579797979798,1.0871579797979798
3543,2023-06-19T11:00:00.000000000Z,EUR_USD,1.09198,1.09274,1.0917,1.09214,1.0872731313131314,1.0872731313131314,1.0872731313131314,1.0872731313131314,1.0872731313131314,1.0872731313131314
3544,2023-06-19T12:00:00.000000000Z,EUR_USD,1.09214,1.09295,1.09195,1.09261,1.0873947474747474,1.0873947474747474,1.0873947474747474,1.0873947474747474,1.0873947474747474,1.0873947474747474
3545,2023-06-19T13:00:00.000000000Z,EUR_USD,1.0926,1.09262,1.0917,1.09184,1.0875156565656565,1.0875156565656565,1.0875156565656565,1.0875156565656565,1.0875156565656565,1.0875156565656565
3546,2023-06-19T14:00:00.000000000Z,EUR_USD,1.09185,1.09263,1.09124,1.09229,1.0876456565656567,1.0876456565656567,1.0876456565656567,1.0876456565656567,1.0876456565656567,1.0876456565656567
3547,2023-06-19T15:00:00.000000000Z,EUR_USD,1.0923,1.0929,1.09212,1.09218,1.0877543434343435,1.0877543434343435,1.0877543434343435,1.0877543434343435,1.0877543434343435,1.0877543434343435
3548,2023-06-19T16:00:00.000000000Z,EUR_USD,1.0922,1.09263,1.09158,1.09162,1.0878777777777777,1.0878777777777777,1.0878777777777777,1.0878777777777777,1.0878777777777777,1.0878777777777777
3549,2023-06-19T17:00:00.000000000Z,EUR_USD,1.09162,1.09193,1.09158,1.09176,1.0879945454545454,1.0879945454545454,1.0879945454545454,1.0879945454545454,1.0879945454545454,1.0879945454545454
3550,2023-06-19T18:00:00.000000000Z,EUR_USD,1.09176,1.0921,1.09162,1.09194,1.0881240404040404,1.0881240404040404,1.0881240404040404,1.0881240404040404,1.0881240404040404,1.0881240404040404
3551,2023-06-19T19:00:00.000000000Z,EUR_USD,1.09194,1.09209,1.09182,1.09184,1.0882412121212122,1.0882412121212122,1.0882412121212122,1.0882412121212122,1.0882412121212122,1.0882412121212122
3552,2023-06-19T20:00:00.000000000Z,EUR_USD,1.09184,1.09228,1.09174,1.0921,1.0883745454545455,1.0883745454545455,1.0883745454545455,1.0883745454545455,1.0883745454545455,1.0883745454545455
3553,2023-06-19T21:00:00.000000000Z,EUR_USD,1.09226,1.09248,1.09206,1.09229,1.088508585858586,1.088508585858586,1.088508585858586,1.088508585858586,1.088508585858586,1.088508585858586
3554,2023-06-19T22:00:00.000000000Z,EUR_USD,1.0923,1.09264,1.09222,1.0923,1.0886411111111112,1.0886411111111112,1.0886411111111112,1.0886411111111112,1.0886411111111112,1.0886411111111112
3555,2023-06-19T23:00:00.000000000Z,EUR_USD,1.09229,1.09248,1.0919,1.09236,1.0887727272727272,1.0887727272727272,1.0887727272727272,1.0887727272727272,1.0887727272727272,1.0887727272727272
